Symbol,Company Name,Sector,Industry
AKTAF,AKITA DRILLING LTD  -CL A,Energy,Energy Equipment & Services
AKRX,"Akorn, Inc.",Health Care,Pharmaceuticals
AKTS,Akoustis Technologies Inc,Information Technology,"Electronic Equipment, Instruments & Components"
AKSY,Aksys Ltd,,
ELUXF,AKTIEBOLAGET ELECTROLUX ORD,,
AKZOY,Akzo Nobel NV  (ADR),Materials,Chemicals
AAIIQ,"Alabama Aircraft Industries, Inc.",Industrials,Aerospace & Defense
ALP-Q,Alabama Power Co,Utilities,Electric Utilities
ASPT,Aladdin Separation Technologies Inc,,
ALME,Alamo Energy Corp,Energy,"Oil, Gas & Consumable Fuels"
ALG,"Alamo Group, Inc.",Industrials,Machinery
AGI,ALAMOS GOLD INC,Materials,Metals & Mining
ALAN,"Alanco Technologies, Inc.",Utilities,Water Utilities
ALARF,ALARIS ROYALTY CORP,Financials,Capital Markets
ALRM,AlarmCom Hldg Inc,Information Technology,Software
ALK,"Alaska Air Group, Inc.",Industrials,Airlines
ALSK,Alaska Communications Systems Group Inc,Communication Services,Diversified Telecommunication Services
AIN,Albany International Corp.,Industrials,Machinery
ALB,Albemarle Corporation,Materials,Chemicals
ALACU,Alberton Acquisition Corp,,
ALBO,Albireo Pharma Inc,Health Care,Biotechnology
LQSIF,ALCANNA INC,Consumer Staples,Food & Staples Retailing
AA,Alcoa Corp,Materials,Metals & Mining
ACA,Alda Capital Corp,Industrials,Construction & Engineering
ALDX,Aldeyra Therapeutics Inc,Health Care,Biotechnology
ALEC,Alector Inc,Health Care,Biotechnology
ALRS,Alerus Financial Corp,Financials,Diversified Financial Services
ALEX,Alexander & Baldwin Inc,Real Estate,Equity Real Estate Investment Trusts (REITs)
ALX,"Alexander's, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs)
AAWC,Alexandria Advantage Warranty Co,Information Technology,Semiconductors & Semiconductor Equipment
ARE,Alexandria Real Estate Equities Inc,Real Estate,Equity Real Estate Investment Trusts (REITs)
AXU,Alexco Resource Corp. (USA),Industrials,Commercial Services & Supplies
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Biotechnology
ALFVF,ALFA-LAVAL AB SHS,,
ALGC,"Algiers Bancorp, Inc.",,
AGMJF,ALGOMA CENTRAL CORP,Industrials,Marine
BABA,Alibaba Group Holding Ltd - ADR,Consumer Discretionary,Internet & Direct Marketing Retail
ALCO,"Alico, Inc.",Consumer Staples,Food Products
ALGN,"Align Technology, Inc.",Health Care,Health Care Equipment & Supplies
ALMC,Alimco Financial Corp,Financials,Capital Markets
ANCTF,ALIMENTATION COUCHE-TARD INC,Consumer Staples,Food & Staples Retailing
ANCUF,Alimentation Couche-Tard Inc (USA),Consumer Staples,Food & Staples Retailing
ALIM,Alimera Sciences Inc,Health Care,Pharmaceuticals
ALO,ALIO GOLD INC,Materials,Metals & Mining
ALJJ,"ALJ Regional Holdings, Inc.",Information Technology,IT Services
AKBLF,ALK ABELLO A S SHS B,,
WTER,Alkaline Water Company Inc,Consumer Staples,Beverages
ALKM,Alkame Holdings Inc,Consumer Staples,Beverages
ALKN,Alkane Inc.,Materials,Chemicals
ALKS,Alkermes Plc,Health Care,Biotechnology
AAGC,All American Gold Corp,Materials,Metals & Mining
AAPT,All American Pet Co Inc,Consumer Staples,Food Products
AFOM,All for One Media Corp,,
HYII,All Grade Mining Inc,Materials,Metals & Mining
PTPF,All Marketing Solutions Inc,Financials,Capital Markets
ATPT,All State Properties Holdings Inc,,
ALLK,Allakos Inc,Health Care,Biotechnology
AASP,All-American Sportpark Inc,,
ADGL,AllDigital Holdings Inc,Information Technology,Software
Y,Alleghany Corporation,Financials,Insurance
AWRY,Allegheny & Western,,
ATI,Allegheny Technologies Incorporated,Materials,Metals & Mining
